,time,USDC-USD,MA
2025-06-17,0.001242283950617284,0.9997,0.9997
2025-06-18,0.012353395061728395,0.9997,0.9997
2025-06-19,0.023464506172839506,0.9998,0.9998
2025-06-20,0.034575617283950616,0.9999,0.9999
2025-06-21,0.04568672839506173,0.9996,0.9996
2025-06-22,0.05679783950617284,0.9997,0.9997
2025-06-23,0.06790895061728396,0.9993,0.9993
2025-06-24,0.07902006172839506,0.9996,0.9996
2025-06-25,0.09013117283950617,0.9995,0.9995
2025-06-26,0.10124228395061728,0.9995,0.9995
2025-06-27,0.1123533950617284,0.9996,0.9996
2025-06-28,0.12346450617283951,0.9996,0.9996
2025-06-29,0.13457561728395062,0.9997,0.9997
2025-06-30,0.14568672839506172,0.9997,0.9997
2025-07-01,0.15679783950617285,0.9997,0.9997
2025-07-02,0.16790895061728395,0.9996,0.9996
2025-07-03,0.17902006172839507,0.9996,0.9996
2025-07-04,0.19013117283950617,0.9998,0.9998
2025-07-05,0.20124228395061727,0.9997,0.9997
2025-07-06,0.2123533950617284,0.9999,0.9996600000000001
2025-07-07,0.2234645061728395,0.9998,0.999665
2025-07-08,0.23457561728395063,0.9998,0.9996699999999998
2025-07-09,0.24568672839506173,0.9997,0.999665
2025-07-10,0.25679783950617285,0.9998,0.9996600000000001
2025-07-11,0.2679089506172839,0.9996,0.9996600000000001
2025-07-12,0.27902006172839505,0.9997,0.9996600000000001
2025-07-13,0.2901311728395062,0.9996,0.9996749999999999
2025-07-14,0.3012422839506173,0.9998,0.999685
2025-07-15,0.3123533950617284,0.9999,0.999705
2025-07-16,0.3234645061728395,0.9995,0.999705
2025-07-17,0.33457561728395063,0.9992,0.999685
2025-07-18,0.3456867283950617,0.9993,0.9996700000000001
2025-07-19,0.35679783950617283,0.9994,0.9996550000000001
2025-07-20,0.36790895061728396,0.9994,0.99964
2025-07-21,0.3790200617283951,0.9996,0.9996349999999999
2025-07-22,0.39013117283950616,0.9996,0.9996350000000002
2025-07-23,0.4012422839506173,0.9995,0.99963
2025-07-24,0.4123533950617284,0.9995,0.999615
2025-07-25,0.4234645061728395,0.9998,0.99962
2025-07-26,0.4345756172839506,0.9997,0.99961
2025-07-27,0.44568672839506174,0.9996,0.9995999999999998
2025-07-28,0.45679783950617286,0.9998,0.9996
2025-07-29,0.46790895061728394,1.0001,0.99962
2025-07-30,0.47902006172839506,1.0,0.99963
2025-07-31,0.4901311728395062,1.0001,0.999655
2025-08-01,0.5012422839506173,1.0003,0.999685
2025-08-02,0.5123533950617284,1.0001,0.9997100000000001
2025-08-03,0.5234645061728395,0.9998,0.9997100000000001
2025-08-04,0.5345756172839506,0.9999,0.99971
2025-08-05,0.5456867283950617,0.9999,0.9997299999999999
2025-08-06,0.5567978395061728,0.9997,0.9997550000000001
2025-08-07,0.567908950617284,0.9996,0.99977
2025-08-08,0.579020061728395,0.9997,0.9997849999999999
2025-08-09,0.5901311728395062,0.9996,0.9997950000000001
2025-08-10,0.6012422839506173,0.9998,0.9998049999999999
2025-08-11,0.6123533950617284,0.9998,0.9998149999999999
2025-08-12,0.6234645061728395,1.0,0.9998400000000001
2025-08-13,0.6345756172839506,0.9996,0.999845
2025-08-14,0.6456867283950617,0.9992,0.9998150000000001
2025-08-15,0.6567978395061729,0.9992,0.99979
2025-08-16,0.667908950617284,0.9993,0.9997750000000002
2025-08-17,0.679020061728395,0.9993,0.99975
2025-08-18,0.6901311728395062,0.9995,0.9997200000000002
2025-08-19,0.7012422839506173,1.0,0.9997200000000002
2025-08-20,0.7123533950617283,0.9998,0.9997050000000002
2025-08-21,0.7234645061728395,1.0002,0.9997
2025-08-22,0.7345756172839506,1.0002,0.999705
2025-08-23,0.7456867283950618,1.0003,0.9997299999999999
2025-08-24,0.7567978395061729,1.0,0.999735
2025-08-25,0.7679089506172839,0.9998,0.9997300000000001
2025-08-26,0.7790200617283951,0.9997,0.9997300000000001
2025-08-27,0.7901311728395062,0.9998,0.9997400000000001
2025-08-28,0.8012422839506173,0.9999,0.99975
2025-08-29,0.8123533950617284,0.9999,0.999765
2025-08-30,0.8234645061728395,0.9998,0.999765
2025-08-31,0.8345756172839506,0.9999,0.99977
2025-09-01,0.8456867283950618,0.9999,0.999765
2025-09-02,0.8567978395061728,0.9998,0.999775
2025-09-03,0.8679089506172839,0.9996,0.999795
2025-09-04,0.8790200617283951,0.9999,0.99983
2025-09-05,0.8901311728395062,0.9998,0.9998549999999999
2025-09-06,0.9012422839506172,0.9997,0.9998750000000001
2025-09-07,0.9123533950617284,1.0,0.9998999999999999
2025-09-08,0.9234645061728395,0.9998,0.99989
2025-09-09,0.9345756172839507,0.9999,0.9998949999999999
2025-09-10,0.9456867283950617,0.9996,0.999865
2025-09-11,0.9567978395061728,0.9996,0.999835
2025-09-12,0.967908950617284,0.9992,0.99978
2025-09-13,0.9790200617283951,0.9994,0.99975
2025-09-14,0.9901311728395061,0.9995,0.999735
